"rank","global_rank","so_answer_id"
643,2765,"41897874"
644,2766,"20568608"
645,2772,"14552724"
646,2779,"35667160"
647,2780,"3672738"
648,2781,"39984324"
649,2782,"43828646"
650,2783,"10951168"
651,2785,"35698378"
652,2788,"5883806"
653,2789,"536219"
654,2790,"17974"
655,2797,"36711941"
656,2798,"1075906"
657,2799,"1075907"
658,2800,"1075917"
659,2802,"36784346"
660,2803,"25370925"
661,2809,"46455026"
662,2810,"2674727"
663,2814,"13268944"
664,2820,"2675947"
665,2826,"39591582"
666,2827,"40952687"
667,2832,"37000428"
668,2833,"38474616"
669,2834,"33247218"
670,2841,"25944122"
671,2873,"39265921"
672,2875,"11145854"
673,2889,"21909509"
674,2890,"494742"
675,2896,"1567993"
676,2897,"29706731"
677,2908,"5165471"
678,2949,"37089180"
679,2950,"22558986"
680,2991,"425466"
681,2992,"29041833"
682,3001,"47429283"
683,3017,"14393573"
684,3019,"48619782"
685,3023,"13796548"
686,3024,"13796501"
687,3025,"13796555"
688,3036,"226920"
689,3038,"29595252"
690,3045,"5688062"
691,3046,"19207612"
692,3048,"26430977"
693,3057,"9543339"
694,3068,"4905433"
695,3071,"37537294"
696,3072,"26627658"
697,3075,"19671457"
698,3078,"5894862"
699,3084,"29625277"
700,3096,"15789698"
701,3097,"1451061"
702,3098,"36081047"
703,3108,"8652858"
704,3110,"8652958"
705,3111,"8652834"
706,3112,"8652848"
707,3113,"8652819"
708,3133,"4812583"
709,3136,"10231009"
710,3137,"10231014"
711,3138,"10231040"
712,3148,"18517555"
713,3150,"343602"
714,3159,"3519883"
715,3162,"9020391"
716,3167,"3958979"
717,3169,"3959007"
718,3171,"3958974"
719,3176,"1018367"
720,3177,"179474"
721,3190,"12845250"
722,3195,"12595153"
723,3196,"12595265"
724,3197,"12595076"
725,3198,"42552114"
726,3199,"12595052"
727,3200,"12595145"
728,3229,"12853618"
729,3230,"12854009"
730,3253,"14925806"
731,3280,"1962195"
732,3281,"1962209"
733,3286,"10630798"
734,3287,"10630763"
735,3292,"1820968"
736,3293,"1820978"
737,3295,"3264240"
738,3301,"25055521"
739,3303,"6463879"
740,3304,"6463636"
741,3312,"10179008"
742,3320,"38144814"
743,3326,"7427797"
744,3336,"12421517"
745,3342,"2608682"
746,3343,"34406001"
747,3345,"2608698"
748,3349,"6548292"
749,3350,"12310176"
750,3379,"17586918"
751,3385,"218357"
752,3392,"17691245"
753,3399,"6120672"
754,3404,"13259563"
755,3405,"13259570"
756,3406,"46312954"
757,3424,"13892920"
758,3454,"787705"
759,3455,"787707"
760,3456,"10296933"
761,3457,"787708"
762,3490,"5153527"
763,3491,"17448519"
764,3496,"7454338"
765,3498,"8846218"
766,3505,"7438009"
767,3506,"7438011"
768,3508,"25980142"
769,3519,"9792061"
770,3521,"5916374"
771,3548,"12682507"
772,3559,"43807"
773,3563,"531811"
774,3564,"665024"
775,3565,"665021"
776,3607,"959766"
777,3608,"959754"
778,3609,"959880"
779,3611,"19173034"
780,3623,"4247076"
781,3626,"24555074"
782,3627,"11986655"
783,3629,"11986716"
784,3633,"16108322"
785,3634,"30634965"
786,3641,"16516670"
787,3668,"8540153"
788,3679,"30601080"
789,3685,"5483341"
790,3686,"35863842"
791,3688,"39889731"
792,3694,"2490486"
793,3699,"44838537"
794,3707,"8192887"
795,3708,"31350291"
796,3709,"39156577"
797,3720,"10259625"
798,3721,"49352286"
799,3729,"18119273"
800,3736,"9413767"
801,3743,"7226186"
802,3766,"31003453"
803,3773,"209824"
804,3775,"3316027"
805,3776,"4483752"
806,3777,"4483760"
807,3778,"4483776"
808,3781,"13542957"
809,3791,"14795308"
810,3793,"41307940"
811,3799,"7735753"
812,3806,"10751667"
813,3808,"10751663"
814,3832,"4452968"
815,3833,"4452969"
816,3843,"33812041"
817,3861,"1657897"
818,3862,"1657925"
819,3863,"1657889"
820,3867,"9362616"
821,3882,"17950164"
822,3883,"18509384"
823,3887,"2477559"
824,3889,"21422872"
825,3893,"1372613"
826,3895,"11658481"
827,3902,"31997172"
828,3904,"189108"
829,3937,"3403259"
830,3939,"7939878"
831,3940,"14104463"
832,3942,"12133431"
833,3948,"573468"
834,3949,"10817635"
835,3950,"537344"
836,3956,"39977028"
837,3957,"919420"
838,3974,"5387398"
839,3977,"47720172"
840,3978,"1970375"
841,3992,"8985483"
842,3993,"16891978"
843,3996,"14806175"
844,3997,"852991"
845,4003,"3406237"
846,4004,"3406240"
847,4006,"10985321"
848,4028,"43565319"
849,4029,"12310964"
850,4040,"3543746"
851,4041,"6199346"
852,4042,"18603020"
853,4058,"18008358"
854,4059,"23166318"
855,4064,"1952258"
856,4067,"1456970"
857,4069,"4421490"
858,4070,"4421448"
859,4092,"16023087"
860,4093,"2006544"
861,4108,"31545984"
862,4147,"17849271"
863,4148,"35521085"
864,4149,"9295685"
865,4150,"4286828"
866,4155,"7866352"
867,4164,"790224"
868,4169,"3312931"
869,4170,"3313117"
870,4172,"27029672"
871,4179,"28610808"
872,4193,"38794120"
873,4200,"49568506"
874,4201,"18831709"
875,4205,"12460588"
876,4207,"12460596"
877,4219,"7672676"
878,4233,"2947065"
879,4240,"19171091"
880,4242,"1489555"
881,4251,"1533724"
882,4252,"28034265"
883,4255,"42156808"
884,4280,"33363603"
885,4303,"13046865"
886,4306,"9625156"
887,4313,"749829"
888,4314,"749974"
889,4333,"580987"
890,4365,"38714547"
891,4366,"4727653"
892,4367,"4727658"
893,4369,"8895420"
894,4370,"8895439"
895,4376,"2792739"
896,4377,"7185943"
897,4407,"266970"
898,4414,"9813640"
899,4424,"2360247"
900,4439,"9898528"
901,4477,"9897525"
902,4499,"2071743"
903,4506,"10960224"
904,4534,"19019564"
905,4555,"2297629"
906,4559,"5958738"
907,4581,"2707431"
908,4582,"23584856"
909,4583,"23588004"
910,4585,"23615373"
911,4595,"34229629"
912,4617,"5720571"
913,4621,"4216211"
914,4623,"6659136"
915,4634,"32278737"
916,4635,"3363747"
917,4636,"5003248"
918,4653,"28259298"
919,4659,"42209055"
920,4660,"9515693"
921,4666,"49339059"
922,4668,"2810102"
923,4675,"25757618"
924,4676,"4450689"
925,4682,"14090907"
926,4686,"24923231"
927,4687,"15248918"
928,4690,"35186993"
929,4691,"20380737"
930,4708,"36217518"
931,4709,"15300904"
932,4732,"2320117"
933,4734,"5258498"
934,4735,"6579976"
935,4736,"16475547"
936,4737,"16475495"
937,4739,"793250"
938,4741,"44579581"
939,4744,"6712708"
940,4753,"27096697"
941,4758,"1471193"
942,4759,"11341375"
943,4764,"6424372"
944,4772,"36918337"
945,4774,"10241460"
946,4785,"11852120"
947,4786,"1762892"
948,4812,"12560092"
949,4814,"6270381"
950,4815,"24164386"
951,4819,"18333270"
952,4820,"18333437"
953,4828,"11977997"
954,4840,"31601568"
955,4862,"15694375"
956,4873,"4252197"
957,4874,"15691905"
958,4878,"13662648"
959,4879,"13663516"
960,4881,"9655810"
961,4882,"9655888"
962,4883,"9656154"
963,4891,"13465103"
964,4892,"13464983"
965,4897,"2572882"
966,4919,"8348363"
967,4925,"2469658"
968,4926,"2469607"
969,4927,"956230"
970,4930,"956223"
971,4931,"957874"
972,4933,"22744902"
973,4937,"44732870"
974,4938,"1149905"
975,4940,"898413"
976,4945,"15963938"
977,4969,"8263301"
978,4970,"8263166"
979,4984,"610346"
980,4985,"8299047"
981,4986,"4223784"
982,4993,"7380641"
983,4998,"5055022"
984,4999,"5055036"
985,5000,"5652385"
986,5028,"6544482"
987,5038,"5570943"
988,5040,"5915306"
989,5043,"9276720"
990,5060,"38753795"
991,5062,"7112451"
992,5075,"19524350"
993,5078,"3028429"
994,5088,"1107816"
995,5089,"1107803"
996,5090,"2541618"
997,5092,"39371942"
998,5094,"10546083"
999,5101,"22765287"
1000,5108,"7553707"
1001,5109,"7553676"
1002,5110,"7553716"
1003,5113,"2905593"
1004,5114,"2905774"
1005,5120,"4344875"
1006,5121,"4345225"
1007,5122,"4344903"
1008,5131,"34328035"
1009,5132,"8270824"
1010,5140,"16982159"
1011,5144,"34437574"
1012,5160,"7217440"
1013,5177,"8934187"
1014,5211,"20884306"
1015,5214,"44694536"
1016,5215,"19279560"
1017,5217,"28182469"
1018,5226,"24328400"
1019,5228,"11638153"
1020,5237,"18220142"
1021,5238,"18220110"
1022,5239,"18220044"
1023,5240,"18220138"
1024,5256,"17868948"
1025,5262,"35804859"
1026,5263,"3799176"
1027,5265,"1410961"
1028,5266,"24594178"
1029,5289,"23551020"
1030,5292,"931663"
1031,5304,"25556323"
1032,5307,"30701348"
1033,5310,"17865740"
1034,5327,"3035893"
1035,5340,"6044049"
1036,5341,"6044004"
1037,5342,"6043999"
1038,5344,"6044064"
1039,5355,"2244077"
1040,5359,"12581643"
1041,5360,"12581679"
1042,5368,"5017094"
1043,5376,"47137182"
1044,5377,"3590718"
1045,5397,"5499823"
1046,5409,"22709438"
1047,5418,"5115433"
1048,5424,"5153956"
1049,5426,"14017817"
1050,5428,"16764615"
1051,5429,"30092835"
1052,5430,"22040067"
1053,5434,"1922348"
1054,5435,"13539602"
1055,5454,"2427655"
1056,5456,"8890335"
1057,5472,"8393865"
1058,5474,"11850724"
1059,5487,"39356922"
1060,5490,"7320393"
1061,5496,"1612912"
1062,5498,"24045917"
1063,5499,"5081953"
1064,5504,"5775876"
1065,5507,"5776456"
1066,5518,"6646535"
1067,5519,"6646543"
1068,5523,"1936612"
1069,5552,"8871778"
1070,5553,"8871710"
1071,5558,"13007007"
1072,5571,"23380335"
1073,5574,"6607924"
1074,5577,"18828219"
1075,5579,"18828505"
1076,5606,"6805072"
1077,5607,"6805035"
1078,5619,"16142101"
1079,5622,"29334"
1080,5623,"29336"
1081,5668,"808314"
1082,5672,"692589"
1083,5697,"2015524"
1084,5703,"1655450"
1085,5704,"1655392"
1086,5705,"28244221"
1087,5733,"5902142"
1088,5734,"5903184"
1089,5764,"8879790"
1090,5765,"7753537"
1091,5766,"1138582"
1092,5767,"1138593"
1093,5785,"740977"
1094,5786,"3846616"
1095,5788,"6647325"
1096,5789,"6647407"
1097,5798,"8923305"
1098,5805,"10039728"
1099,5809,"7415784"
1100,5818,"1184185"
1101,5820,"7318394"
1102,5831,"40716042"
1103,5842,"11973431"
1104,5843,"11973418"
1105,5849,"4946332"
1106,5850,"4945749"
1107,5868,"2301155"
1108,5881,"5033439"
1109,5886,"8963444"
1110,5932,"7642662"
1111,5962,"32985447"
1112,5967,"16520197"
1113,5978,"37465962"
1114,5979,"40284148"
1115,6007,"6166770"
1116,6009,"5287521"
1117,6022,"31891427"
1118,6035,"13084442"
1119,6037,"15020888"
1120,6038,"19516130"
1121,6040,"2774721"
1122,6052,"20199097"
1123,6056,"33363288"
1124,6061,"10344043"
1125,6062,"22460319"
1126,6065,"12947796"
1127,6067,"9105408"
1128,6069,"10897499"
1129,6081,"5529659"
1130,6089,"13422436"
1131,6093,"24250305"
1132,6127,"15306017"
